,Unnamed: 0,n,kf,R_f,Q10,Q,kl,R_l,Index,
317,317,2.446360681,1.718206058,0.969712571,4.403983811,7.733484243,0.185700289,0.998704614,3070,0.643845714
318,318,2.403822337,1.615298838,0.973130522,4.209756754,7.583868127,0.171947678,0.998124284,3071,0.624257002
319,319,2.217495683,1.324409462,0.982106462,3.740945997,7.43522266,0.128357776,0.997805526,3072,0.572981439
320,320,2.278063571,1.810409756,0.978582053,4.974462875,9.512115874,0.143738301,0.998050307,3073,0.696746194
321,321,2.224475763,1.600990392,0.98418509,4.507470009,9.224646858,0.116944529,0.998401056,3074,0.653932846
322,322,2.013609248,1.271387229,0.988608749,3.989316817,9.117263019,0.092946503,0.998399223,3075,0.600898528
323,323,1.867982087,0.625051953,0.991166424,2.144140084,4.211867948,0.125407089,0.996766516,3076,0.331253156
324,324,1.715194674,0.522009815,0.988422107,1.998494087,4.407614312,0.097856983,0.999250147,3077,0.300702868
325,325,1.7078433,0.501323871,0.989444576,1.930421732,4.309956166,0.095219143,0.999178629,3078,0.285652198
330,330,1.367625332,2.505498141,0.997191839,13.49237789,5.339516646,0.815561237,0.993439045,3083,1.130088496
331,331,1.260291084,1.691642441,0.997237382,10.51419579,5.204558979,0.475681276,0.995641281,3084,1.02177606
332,332,1.278001905,1.413633565,0.998365437,8.566596183,4.325614097,0.480739493,0.996239837,3085,0.932808295
333,333,1.162087647,1.651468985,0.997021054,11.97817662,7.204768949,0.292710581,0.998034169,3086,1.078390712
334,334,1.168891684,1.303891531,0.998732051,9.348732358,5.371719186,0.313857071,0.997697212,3087,0.970752727
335,335,1.240924262,1.032338335,0.995820604,6.601961818,3.20886635,0.462581122,0.997536415,3088,0.819673008
336,336,1.063761016,1.189409969,0.997398348,10.36077743,11.39068829,0.1156881,0.997468656,3089,1.015392344
337,337,0.975769355,0.836519571,0.998191572,8.857444816,-1,-1,-1,3090,0.947308455
338,338,0.952425595,0.69653428,0.995456127,7.81435755,-1,-1,-1,3091,0.892893279
339,339,2.093004235,1.223892893,0.991699311,3.677270119,4.225519221,-43859730.44,-1.74E-08,3092,0.565525533
340,340,1.75353042,0.515309795,0.996138464,1.915783814,2.585540905,-16305205.1,-3.08E-08,3093,0.2823465
341,341,2.070498333,0.822102203,0.980797344,2.499777344,2.98109363,-33986288.49,-2.55E-08,3094,0.397901328
342,342,1.886532618,0.795937941,0.991593461,2.697442557,3.228530054,-28388554.88,-2.68E-08,3095,0.430952205
343,343,2.12917751,2.145058056,0.996656429,6.325632801,7.39878104,-13181312.3,-4.63E-08,3096,0.801103978
344,344,2.373668875,2.986286197,0.980763906,7.878076247,9.409502335,-19200056.22,-2.68E-08,3097,0.89642018
345,345,2.222423681,1.843570439,0.991044983,5.195399451,6.137202102,-32811249.4,-2.51E-08,3099,0.715618944
346,346,2.192905932,1.796664839,0.988861444,5.134320571,5.615026732,-13006172.19,-5.31E-08,3100,0.710482981
347,347,2.207857916,1.211569881,0.925388021,3.437764835,3.794275459,-22251404.12,-2.75E-08,3101,0.536276165
348,348,1.871761917,1.928666,0.996835872,6.599529975,7.063765004,-15329167.39,-4.44E-08,3102,0.819513006
349,349,1.84996394,1.2915693,0.989841577,4.484032898,4.814811713,-20070099.03,-3.22E-08,3103,0.65166879
350,350,1.823572269,0.869633462,0.992472739,3.074046632,3.294324891,-54782938.3,-1.24E-08,3104,0.487710451
351,351,1.226733613,4.007404439,0.997386926,26.18400515,13.22781122,0.426169838,0.99811194,3105,1.418036078
352,352,1.713381156,0.98183424,0.993353057,3.764258765,1.468457391,1.783551296,0.998303726,3106,0.57567947
353,353,1.836011308,2.159946269,0.993689,7.570104987,2.980499998,2.227144286,0.997041647,3107,0.879101903
354,354,1.689903002,2.230575166,0.992423174,8.712981715,3.418494331,1.69377472,0.998644946,3108,0.940166803
355,355,1.467886869,2.289425237,0.997652982,10.98949855,4.374485506,1.031710846,0.998733819,3109,1.040977876
356,356,1.464363417,1.809272552,0.999093176,8.717552796,3.571332516,0.974353379,0.997938456,3110,0.940394586
357,357,1.286233163,1.481454247,0.997621364,8.874670938,4.025212385,0.565933423,0.999723527,3111,0.948152259
358,358,1.122223555,0.921813846,0.99680537,7.1735029,4.50777944,0.252723624,0.998430964,3112,0.855731278
359,359,1.459262998,1.563125102,0.99825091,7.573056019,3.102054744,0.967833017,0.998859056,3113,0.879271169
360,360,1.317922194,0.999524501,0.998886455,5.735398236,2.501102242,0.643527261,0.999220838,3114,0.758563578
361,361,1.472630811,0.642293789,0.996960034,3.067542195,1.240318264,1.01857303,0.999400154,3115,0.486790545
362,362,1.260201725,0.40374066,0.997314296,2.509725593,1.157010734,0.522306626,0.999653428,3116,0.399626239
363,363,2.383806416,2.482337823,0.978249306,6.521658228,6.747194669,-24593704.57,-4.71E-08,3117,0.814358036
364,364,2.135073312,1.951197215,0.981806875,5.736792735,5.911488716,-27978978.99,-4.18E-08,3118,0.75866916
365,365,1.91885761,1.518691798,0.979742056,5.042118619,11.9595942,0.088426674,0.999245075,3119,0.702613058
366,366,1.65300025,1.367632223,0.997016055,5.507188109,5.02923446,-24154677.83,-3.65E-08,3120,0.740929911
367,367,1.62941172,1.137389145,0.994767523,4.673341389,12.97912599,0.062130863,0.997417502,3121,0.669627508
368,368,1.528756009,0.864918749,0.9863959,3.900335188,4.109787948,-13052733.58,-5.85E-08,3122,0.591101931
369,369,2.384053987,1.917130406,0.982639743,5.036226382,5.030051768,-58850371.45,-2.60E-08,3123,0.702105244
370,370,2.199101307,1.575482214,0.986437663,4.488949456,4.660103576,-49647404.72,-3.57E-08,3124,0.652144715
371,371,2.010526364,1.270903908,0.979689211,3.994798722,9.105396834,0.09416053,0.999156524,3125,0.601494902
375,375,2.052063774,0.848339537,0.983636718,2.605457523,2.987666061,-21841377.51,-5.47E-08,3129,0.415883997
376,376,2.064721061,0.943871673,0.989591761,2.878988143,3.331041887,-35336303.33,-3.24E-08,3130,0.459239876
378,378,2.19262964,0.54387056,0.9851423,1.554421969,3.356681977,0.097886536,0.994653444,3132,0.191568926
379,379,1.952491541,0.861225256,0.978449508,2.800804973,3.659510219,-22085496.48,-2.15E-08,3133,0.447282869
380,380,1.85657201,0.548092147,0.976990201,1.894439241,2.519183205,-11079633.29,-4.20E-08,3134,0.277480681
381,381,1.716233378,0.781333746,0.989435573,2.98887616,4.189752678,-10133204.03,-3.78E-08,3135,0.475507921
382,382,1.87694632,0.586739288,0.958708914,2.000900337,2.716641309,-13821537.09,-3.12E-08,3136,0.301225457
383,383,2.228877538,2.112417574,0.979745148,5.935210067,6.106815359,-54101622.03,-2.36E-08,3137,0.773436095
